targets,texts
0,"ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."
0,you can never do nothing
0,"now u sound like manky scouse boy steve,like! i is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
0,mum say we wan to go then go... then she can shun bian watch da glass exhibition...
0,never y lei... i v lazy... got wat? dat day ü send me da url cant work one...
0,in xam hall boy asked girl tell me the starting term for dis answer i can den manage on my own after lot of hesitation n lookin around silently she said the! intha ponnungale ipaditan;)
0,genius what's up. how your brother. pls send his number to my skype.
0,they finally came to fix the ceiling.
1,"urgent! call 09066350750 from your landline. your complimentary 4* ibiza holiday or 10,000 cash await collection sae t&cs po box 434 sk3 8wp 150 ppm 18+"
0,now that you have started dont stop. just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
0,hello darlin ive finished college now so txt me when u finish if u can love kate xxx
0,aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. i tot ü havent finish ur lab wat.
0,"im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! take care & spk sn x."
0,the message sent is askin for  &lt;#&gt; dollars. shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
0,he said i look pretty wif long hair wat. but i thk he's cutting quite short 4 me leh.
0,you are right though. i can't give you the space you want and need. this is really starting to become an issue. i was going to suggest setting a definite move out--if i'm still there-- after greece. but maybe you are ready and should do it now.
1,bored housewives! chat n date now! 0871750.77.11! bt-national rate 10p/min only from landlines!
0,well i know z will take care of me. so no worries.
0,haha... dont be angry with yourself... take it as a practice for the real thing. =)
0,"nope, i'm still in the market"
1,message important information for o2 user. today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
0,am not interested to do like that.
0,oh yes i can speak txt 2 u no! hmm. did u get  email?
0,"wen ur lovable bcums angry wid u, dnt take it seriously.. coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... have nice day da."
0,thts god's gift for birds as humans hav some natural gift frm god..
0,"aight, i'm chillin in a friend's room so text me when you're on the way"
0,"how long has it been since you screamed, princess?"
0,no problem with the renewal. i.ll do it right away but i dont know his details.
0,does cinema plus drink appeal tomo? * is a fr thriller by director i like on at mac at 8.30.
0,i'm coming home 4 dinner.
0,are we doing the norm tomorrow? i finish just a 4.15 cos of st tests. need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
0,but i haf enuff space got like 4 mb...
0,i need to come home and give you some good lovin...
0,lol i was gonna last month. i cashed some in but i left &lt;#&gt; just in case. i was collecting more during the week cause they announced it on the blog.
0,mm not entirely sure i understood that text but hey. ho. which weekend?
0,"sorry i missed you babe. i was up late and slept in. i hope you enjoy your driving lesson, boytoy. i miss you too ... *teasing kiss*"
0,"a boy loved a gal. he propsd bt she didnt mind. he gv lv lttrs, bt her frnds threw thm. again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. wn it was about 2 hit d girl,d boy ran like hell n saved her. she asked 'hw cn u run so fast?' d boy replied boost is d secret of my energy n instantly d girl shouted our energy n thy lived happily 2gthr drinking boost evrydy moral of d story:- i hv free msgs:d;): gud ni8"
